Snapshot Month,Customer ID,Customer Age,Gender,Education_Level,Marital Status,Income Category,Month on Book,Credit_Limit,Revolving_Bal,Utilization
12/31/2013,712977183,57,F,Uneducated,Single,$40K - $60K,32,19500,1072,0.055
12/31/2013,710829108,59,F,Uneducated,Married,$40K - $60K,34,3400,985,0.294
12/31/2013,779562633,45,M,Uneducated,Married,$40K - $60K,19,5800,2248,0.39
12/31/2013,715315833,51,M,Graduate,Married,$80K - $120K,33,11100,2107,0.19
12/31/2013,815500983,59,F,Uneducated,Married,Less than $40K,23,2900,2001,0.692
12/31/2013,719360583,53,M,Graduate,Married,$60K - $80K,42,3400,1701,0.503
12/31/2013,709701558,47,M,Graduate,Married,$60K - $80K,49,21300,1251,0.059
12/31/2013,721148358,49,F,Uneducated,Single,Unknown,50,12900,0,0
12/31/2013,779862408,49,M,Post-Graduate,Single,$80K - $120K,31,6300,462,0.074
12/31/2013,812627208,60,F,College,Single,Less than $40K,14,1400,738,0.513
12/31/2013,711033408,50,F,High School,Married,Less than $40K,35,9400,1626,0.174
12/31/2013,779956608,41,F,Post-Graduate,Married,Unknown,33,20800,0,0
12/31/2013,780376683,57,M,Graduate,Married,$80K - $120K,3,14600,1976,0.135
12/31/2013,717912483,43,M,Graduate,Unknown,$80K - $120K,4,27300,0,0
12/31/2013,714454758,57,F,Graduate,Married,Less than $40K,25,6300,1594,0.251
12/31/2013,780466533,54,M,Doctorate,Married,$120K +,6,21600,1676,0.078
12/31/2013,715735233,51,F,Post-Graduate,Married,Less than $40K,45,3400,1598,0.463
12/31/2013,720476733,47,F,High School,Married,Less than $40K,8,6000,799,0.133
12/31/2013,715872333,41,M,High School,Unknown,$120K +,40,18200,1998,0.11
12/31/2013,712375758,53,M,Uneducated,Married,$80K - $120K,5,16400,1423,0.087
12/31/2013,708868233,68,M,High School,Married,Less than $40K,23,1400,900,0.626
12/31/2013,718030083,59,M,College,Married,$60K - $80K,28,7900,1687,0.214
